IRIS;LIBIRIS;COM;LIBCOM;DEC_PIMP14;DEC_TP6014;DEC_Q114;DEC_MED14;DEC_Q314;DEC_EQ14;DEC_D114;DEC_D214;DEC_D314;DEC_D414;DEC_D614;DEC_D714;DEC_D814;DEC_D914;DEC_RD14;DEC_S80S2014;DEC_GI14;DEC_PTSA14;DEC_PCHO14;DEC_PBEN14;DEC_PPEN14;DEC_PAUT14;note
21680601;Gerbrois-St Martin-Le Buisson-Vincelles;2168;Ch‰teau-Thierry;64,9;17;15213;22252;30426;0,7;9724;13448;16422;19296;24922;28518;32970;41856;4,3;6;0,3;48,8;2,8;7,7;35,9;4,8;0
21680701;Blanchard;2168;Ch‰teau-Thierry;;;8578;15698;22368;0,9;2454;6814;9846;12682;18400;20804;24428;30386;12,4;12,2;0,4;57,6;5;3,7;31,6;2,1;0
21730101;Nord-Ouest;2173;Chauny;33;51,7;5354;11810;19226;1,2;454;3468;7020;9336;14470;17400;21162;26146;57,6;32,2;0,4;53,3;5,2;1,7;37,9;1,9;0
21730201;Sud-Ouest;2173;Chauny;46,1;34,3;9598;16536;23274;0,8;3404;7770;11238;13894;18696;21320;25834;32326;9,5;11,5;0,4;52,4;4,1;4,8;34,2;4,5;0
21730301;Nord-Est;2173;Chauny;55;28,1;11302;18642;25712;0,8;5366;9384;12900;16412;21284;24018;28024;36524;6,8;9,7;0,4;54,7;2,8;8;31,2;3,3;0
24080101;Saint-Exupery-Moulin Roux;2408;Laon;26,5;64,1;2444;7886;16072;1,7;0;1054;3394;5534;10905;14406;18138;23242;;156,2;0,5;;;;;;0
24080102;Centre Social;2408;Laon;;83,4;432;5798;10374;1,7;0;76;1532;3556;7206;8902;11338;15642;;15321;0,5;;;;;;0
24080103;La Fontaine;2408;Laon;35,3;60;1786;8250;18228;2;0;836;2654;5596;11960;16588;19934;27716;;338,7;0,5;;;;;;0
24080201;Cite du Nord;2408;Laon;45,9;37,6;8450;15500;22046;0,9;3024;7318;9984;12846;18030;20562;23858;30482;10,1;10,3;0,4;54,3;3,5;3,2;36,5;2,5;0
24080301;Gare Saint-Marcel;2408;Laon;50,8;29,1;11052;18468;26351;0,8;4402;8550;12522;15258;21066;24300;28992;37937;8,6;12,1;0,4;49,3;3;6,8;35,4;5,5;0
24080401;Individuels;2408;Laon;;;12992;20530;30634;0,9;7410;10816;14324;17595;23632;27878;34234;42480;5,7;7;0,4;52,7;2,1;4,6;35,5;5,1;0
24080402;Prevert Maraichers;2408;Laon;36,9;43;7978;13956;19682;0,8;2360;6758;9044;11592;16200;18122;20962;25334;10,7;10,4;0,4;61;7,1;1,2;30;0,7;0
24080501;Plateau;2408;Laon;50;34,2;8294;17878;28546;1,1;806;6184;10482;13992;21864;25834;32656;43790;54,3;26,4;0,5;59,7;3,8;10,4;21,7;4,4;0
24080601;Vaux;2408;Laon;51,6;30,1;10260;17706;24588;0,8;4822;8810;12140;14852;20347;23236;26204;32070;6,7;8,6;0,3;55,5;4;4,1;33,2;3,2;0
24080801;Montreuil-La Neuville-Marquette;2408;Laon;43,2;42,1;6746;14274;22470;1,1;1692;5328;8610;11668;17624;20858;24252;30628;18,1;18,2;0,4;53,5;4,3;3,1;36,7;2,4;0
24080901;Ardon-Leuilly-Semilly;2408;Laon;62,5;15,9;15068;21386;29900;0,7;9130;13618;16374;18824;23756;27348;33014;44204;4,8;6,4;0,3;57,1;2,4;5,6;30,3;4,6;0
26910101;centre ville 1;2691;Saint-Quentin;55,9;26,2;11292;20934;33966;1,1;3610;9018;13696;17258;24366;30002;37924;56396;15,6;19;0,5;49,8;2,8;17,5;23,2;6,7;0
26910102;centre ville 2;2691;Saint-Quentin;58,8;23,5;13184;23470;40440;1,2;3592;10196;14808;18502;29348;35626;44970;64756;18;21,3;0,5;48,6;2,5;17,9;22,7;8,3;0
26910103;centre ville 3;2691;Saint-Quentin;48,3;37,2;7538;16596;25912;1,1;1396;5652;9520;13356;20052;23668;29972;39384;28,2;28,5;0,5;55,8;4,3;9,6;23,5;6,8;0
26910104;centre ville 4;2691;Saint-Quentin;45,5;38,3;7776;16273;25840;1,1;1214;6002;9344;12882;20004;23744;28018;41252;34;25;0,5;59;4,8;7,3;23,4;5,5;0
26910201;europe-remicourt 1;2691;Saint-Quentin;52;27,4;11551;17854;26960;0,9;6008;10152;12876;15520;21014;24452;30116;40586;6,8;9,5;0,4;58,3;3,5;6,3;27,9;4;0
26910202;europe-remicourt 2;2691;Saint-Quentin;56,3;23,7;12366;18924;25658;0,7;6258;11108;13566;16348;21590;23898;27448;34130;5,5;6,7;0,3;58,8;2,6;3,1;32,9;2,6;0
26910203;europe-remicourt 3;2691;Saint-Quentin;54,2;29,5;10750;18206;27729;0,9;4772;9412;12294;15526;21098;24988;29954;37400;7,8;9,7;0,4;44,5;3,4;7;40,9;4,2;0
26910204;europe-remicourt 4;2691;Saint-Quentin;25,8;66,8;2374;7908;15220;1,6;0;1126;3418;5630;10192;12762;17276;23064;;171,1;0,5;46,1;7,3;3,8;39,8;3;0
26910205;europe-remicourt 5;2691;Saint-Quentin;;73,7;1836;6660;12382;1,6;0;980;2746;4688;8630;10986;13972;17280;;119,1;0,5;;;;;;0
26910206;europe-remicourt 6;2691;Saint-Quentin;30,9;58,2;4002;10246;17640;1,3;0;3086;5222;6968;12882;16140;19290;24852;;37,1;0,5;;;;;;0
26910207;europe-remicourt 7;2691;Saint-Quentin;33,6;52,5;5322;11310;19226;1,2;344;3764;6518;8898;14978;17780;21280;26322;76,5;27,2;0,4;35,6;5;0,4;57,2;1,8;0
26910208;europe-remicourt 8;2691;Saint-Quentin;60,1;21,6;13532;20754;29984;0,8;6418;11236;15044;17692;24134;28208;32868;41622;6,5;8,7;0,4;54,7;2,7;7,3;29,6;5,7;0
26910209;europe-remicourt 9;2691;Saint-Quentin;52,7;28,9;11016;19032;29882;1;3828;9055;12637;16152;23010;28192;33034;44390;11,6;13,3;0,4;55,3;2;8,1;29;5,6;0
26910301;isle 1;2691;Saint-Quentin;36,9;45,9;6106;13618;20488;1,1;194;4998;8046;10460;16390;19082;22478;27148;139,9;28,8;0,4;60,6;5,9;3,8;27,5;2,2;0
26910302;isle 2;2691;Saint-Quentin;47,4;32,1;9794;16526;22392;0,8;3548;8102;11640;14266;18892;21176;23700;28444;8;9,8;0,3;53,8;4,3;3,1;36,6;2,2;0
26910303;isle 3;2691;Saint-Quentin;;;5737;12468;19180;1,1;348;4184;6708;9350;15070;17754;20750;24602;70,7;24;0,4;49,1;5,7;0,9;43,3;1;0
26910304;isle 4;2691;Saint-Quentin;40,8;44,1;6746;13560;20744;1;1264;5280;8112;11032;16568;19092;22506;27966;22,1;19,5;0,4;52,8;5,6;3,6;35,5;2,5;0
26910401;Saint-Martin-Oestres 1;2691;Saint-Quentin;43,8;39,3;8216;15486;22384;0,9;1978;6336;9958;12350;18157;20972;24218;30810;15,6;15,7;0,4;51,7;4,2;5;35,8;3,3;0
26910402;Saint-Martin-Oestres 2;2691;Saint-Quentin;41,7;35,8;9014;15192;21092;0,8;2742;7514;10734;13118;17150;19824;23056;27288;10;10,9;0,3;59,1;4,9;3,3;31,2;1,5;0
26910403;Saint-Martin-Oestres 3;2691;Saint-Quentin;50,3;32,7;9738;17092;23396;0,8;3018;7938;11338;14610;19466;21918;25628;30658;10,2;10,9;0,3;52,8;4,1;1,7;39,7;1,7;0
26910501;vermandois 1;2691;Saint-Quentin;40,1;39,8;7550;14752;20894;0,9;2292;6210;8812;12438;17188;19796;22750;28452;12,4;13,4;0,4;56,2;4,3;3;33,8;2,7;0
26910502;vermandois 2;2691;Saint-Quentin;43,9;43;6804;14652;22114;1;126;5086;8240;11158;17920;20378;25354;32396;257,1;25,8;0,4;56,8;4,3;4,4;31,2;3,3;0
26910503;vermandois 3;2691;Saint-Quentin;;;3346;9126;16116;1,4;0;1744;4450;7048;11208;14498;17684;22574;;91,1;0,5;53,3;7,6;2;35,6;1,5;0
26910504;vermandois 4;2691;Saint-Quentin;52;32,1;9696;17394;24338;0,8;3822;8006;11352;14484;20158;22738;26300;31062;8,1;10,1;0,4;47,6;3;2,6;44,8;2;0
26910601;Saint-Jean;2691;Saint-Quentin;44,2;35,5;8994;15928;22872;0,9;2402;7310;10724;13436;18124;21056;24778;30730;12,8;13,7;0,4;56,1;4,6;4,8;30,8;3,7;0
27220101;Presles 1;2722;Soissons;31,4;60,5;4482;9718;17906;1,4;478;2968;5812;7850;11922;15896;20114;26478;55,4;44,2;0,5;41,7;6;2,6;43,7;6;0
27220102;Presles 2;2722;Soissons;;79,5;2074;6378;11250;1,4;0;1048;2772;4580;7998;10038;12514;17144;;124,3;0,5;;;;;;0
27220103;Presles 3;2722;Soissons;24,3;62;3882;9146;15620;1,3;124;2364;4900;6712;11782;14176;17260;21892;176,5;46,9;0,5;57;9,4;1,5;30,2;1,9;0
27220201;Maupas;2722;Soissons;42,2;37,1;8442;15506;20334;0,8;3068;6854;9996;13014;17152;19280;21864;26012;8,5;9,7;0,3;49,3;4,8;0,7;43,5;1,7;0
27220301;Longues Baies;2722;Soissons;;;17734;23942;33921;0,7;12774;16422;19168;21302;26392;31126;37676;49602;3,9;5,2;0,3;48,8;2,1;9,1;33,6;6,4;0
